,hobby,wiki_title,wiki_url,wiki_summary,wiki_categories,hobby_en,hobby_ru,hobby_vector,image_url
10,space exploration,Space exploration,https://en.wikipedia.org/wiki/Space_exploration,"Space exploration is the use of astronomy and space technology to explore outer space. While the exploration of space is carried out mainly by astronomers with telescopes, its physical exploration though is conducted both by unmanned robotic space probes and human spaceflight. Space exploration, like its classical form astronomy, is one of the main sources for space science.
While the observation of objects in space, known as astronomy, predates reliable recorded history, it was the development of large and relatively efficient rockets during the mid-twentieth century that allowed physical space exploration to become a reality. Common rationales for exploring space include advancing scientific research, national prestige, uniting different nations, ensuring the future survival of humanity, and developing military and strategic advantages against other countries.The early era of space exploration was driven by a ""Space Race"" between the Soviet Union and the United States. The launch of the first human-made object to orbit Earth, the Soviet Union's Sputnik 1, on 4 October 1957, and the first Moon landing by the American Apollo 11 mission on 20 July 1969 are often taken as landmarks for this initial period. The Soviet space program achieved many of the first milestones, including the first living being in orbit in 1957, the first human spaceflight (Yuri Gagarin aboard Vostok 1) in 1961, the first spacewalk (by Alexei Leonov) on 18 March 1965, the first automatic landing on another celestial body in 1966, and the launch of the first space station (Salyut 1) in 1971. 
After the first 20 years of exploration, focus shifted from one-off flights to renewable hardware, such as the Space Shuttle program, and from competition to cooperation as with the International Space Station (ISS).
With the substantial completion of the ISS following STS-133 in March 2011, plans for space exploration by the U.S. remain in flux. Constellation, a Bush Administration program for a return to the Moon by 2020 was judged inadequately funded and unrealistic by an expert review panel reporting in 2009. 
The Obama Administration proposed a revision of Constellation in 2010 to focus on the development of the capability for crewed missions beyond low Earth orbit (LEO), envisioning extending the operation of the ISS beyond 2020, transferring the development of launch vehicles for human crews from NASA to the private sector, and developing technology to enable missions to beyond LEO, such as Earth–Moon L1, the Moon, Earth–Sun L2, near-Earth asteroids, and Phobos or Mars orbit.In the 2000s, China initiated a successful manned spaceflight program when India launched Chandraayan 1, while the European Union and Japan have also planned future crewed space missions. China, Russia, and Japan have advocated crewed missions to the Moon during the 21st century, while the European Union has advocated manned missions to both the Moon and Mars during the 20th and 21st century.
From the 1990s onwards, private interests began promoting space tourism and then public space exploration of the Moon (see Google Lunar X Prize). Students interested in Space have formed SEDS (Students for the Exploration and Development of Space). SpaceX is currently developing Starship, a fully reusable orbital launch vehicle that is expected to massively reduce the cost of spaceflight and allow for crewed planetary exploration.","All Wikipedia articles written in American English,All articles containing potentially dated statements,All articles with unsourced statements,Articles containing potentially dated statements from 2012,Articles with short description,Articles with unsourced statements from June 2020,CS1 errors: missing periodical,CS1 maint: DOI inactive as of May 2021,Commons category link from Wikidata,Pages with non-numeric formatnum arguments,Short description is different from Wikidata,Solar System,Space exploration,Spaceflight,Use American English from September 2016,Use dmy dates from December 2020,Webarchive template wayback links,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers",Space Exploration,Исследование космоса,"0.0183,0.028,0.0234,0.135,0.0104,0.0206,0.0322,0.0377,0.016,0.0225,0.016,0.0308,0.0623,0.0174,0.0174,0.028,0.0127,0.0118,0.4373,0.0225",https://images.pexels.com/photos/1906658/pexels-photo-1906658.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
11,skill games,Game of skill,https://en.wikipedia.org/wiki/Game_of_skill,"A game of skill or game of wits is a game where the outcome is determined mainly by mental or physical skill, rather than chance.Alternatively, a game of chance is one where its outcome is strongly influenced by some randomizing device, such as dice, spinning tops, playing cards, roulette wheels, or numbered balls drawn from a container.
While a game of chance may have some skill element to it, chance generally plays a greater role in determining its outcome. A game of skill may also may have elements of chance, but skill plays a greater role in determining its outcome. Like jenga.
Some commonly played games of skill include: collectible card games, contract bridge, backgammon and mahjong.However, most games of skill also involve a degree of chance, due to natural aspects of the environment, a randomizing device (such as dice, playing cards or a coin flip), or guessing due to incomplete information. Some games where skill is a component alongside gambling and strategy such as poker may involve the application of such methods as mathematical probability and game theory, bluffing, and other forms of psychological warfare.

","Game terminology,Skills,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers",Skill games,Навык игры,"0.0431,0.0246,0.0568,0.0286,0.0197,0.039,0.3225,0.0205,0.031,0.0221,0.0189,0.0254,0.0286,0.039,0.0286,0.035,0.0238,0.13,0.0278,0.035",https://images.pexels.com/photos/5756239/pexels-photo-5756239.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
12,comic book collecting,Comic book collecting,https://en.wikipedia.org/wiki/Comic_book_collecting,"Comic book collecting is a hobby that treats comic books and related items as collectibles or artwork to be sought after and preserved. Though considerably more recent than the collecting of postage stamps (philately) or books (bibliophilia), it has a major following around the world today and is partially responsible for the increased interest in comics after the temporary slump experienced during the 1980s.

","All articles containing potentially dated statements,All articles needing additional references,All articles with unsourced statements,Articles containing potentially dated statements from 2010,Articles needing additional references from January 2008,Articles with Curlie links,Articles with limited geographic scope from October 2007,Articles with multiple maintenance issues,Articles with short description,Articles with unsourced statements from July 2008,Articles with unsourced statements from July 2010,Articles with unsourced statements from July 2014,Articles with unsourced statements from September 2010,Articles with unsourced statements from September 2019,Comic book collecting,History of comics,Short description is different from Wikidata,Webarchive template wayback links,Wikipedia indefinitely semi-protected pages",Comic book collecting,Сбор комиксов,"0.0373,0.0413,0.0305,0.0671,0.0427,0.1267,0.0318,0.0413,0.0305,0.04,0.0413,0.0318,0.0305,0.0427,0.0359,0.1443,0.0481,0.0332,0.0535,0.0495",https://images.pexels.com/photos/3989751/pexels-photo-3989751.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
13,tree climbing,Tree climbing,https://en.wikipedia.org/wiki/Tree_climbing,"Tree climbing is a recreational or functional activity consisting of ascending and moving around in the crown of trees.
A rope, helmet, and harness can be used to increase the safety of the climber. Other equipment can also be used depending on the experience and skill of the tree climber. Some tree climbers take special hammocks called ""Treeboats"" and Portaledges with them into the tree canopies where they can enjoy a picnic or nap, or spend the night.
Some tree-climbers employ a mixture of techniques and gear derived from rock climbing and caving. These techniques are also used to climb trees for other purposes: tree care (arborists), animal rescue, research, and activism.","All articles needing additional references,Articles needing additional references from June 2018,Commons category link is on Wikidata,Trees,Types of climbing",Tree climbing,Лазания по деревьям,"0.0291,0.0302,0.0429,0.0683,0.0513,0.0291,0.0344,0.0323,0.0354,0.0767,0.1328,0.0238,0.0238,0.1741,0.0407,0.0344,0.0481,0.0344,0.0312,0.027",https://images.pexels.com/photos/691034/pexels-photo-691034.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
14,tetris,Tetris,https://en.wikipedia.org/wiki/Tetra,"Tetra is the common name of many small freshwater characiform fishes. Tetras come from Africa, Central America, and South America, belonging to the biological family Characidae and to its former subfamilies Alestidae (the ""African tetras"") and Lebiasinidae. The Characidae are distinguished from other fish by the presence of a small adipose fin between the dorsal and caudal fins. Many of these, such as the neon tetra (Paracheirodon innesi), are brightly colored and easy to keep in captivity.  Consequently, they are extremely popular for home aquaria.
Tetra is no longer a taxonomic, phylogenetic term. It is short for Tetragonopterus, a genus name formerly applied to many of these fish, which is Greek for ""square-finned"" (literally, four-sided-wing).
Because of the popularity of tetras in the fishkeeping hobby, many unrelated fish are commonly known as tetras, including species from different families. Even vastly different fish may be called tetras. For example, payara (Hydrolycus scomberoides) is occasionally known as the ""sabretooth tetra"" or ""vampire tetra"".
Tetras generally have compressed (sometimes deep), fusiform bodies and are typically identifiable by their fins. They ordinarily possess a homocercal caudal fin (a twin-lobed, or forked, tail fin whose upper and lower lobes are of equal size) and a tall dorsal fin characterized by a short connection to the fish's body. Additionally, tetras possess a long anal fin stretching from a position just posterior of the dorsal fin and ending on the ventral caudal peduncle, and a small, fleshy adipose fin located dorsally between the dorsal and caudal fins. This adipose fin represents the fourth unpaired fin on the fish (the four unpaired fins are the caudal fin, dorsal fin, anal fin, and adipose fin), lending to the name tetra, which is Greek for four. While this adipose fin is generally considered the distinguishing feature, some tetras (such as the emperor tetras, Nematobrycon palmeri) lack this appendage. Ichthyologists debate the function of the adipose fin, doubting its role in swimming due to its small size and lack of stiffening rays or spines.Although the list below is sorted by common name, in a number of cases, the common name is applied to different species. Since the aquarium trade may use a different name for the same species, advanced aquarists tend to use scientific names for the less-common tetras. The list below is incomplete.

","""Articles with species microformats"",Articles with short description,Fish common names,Short description is different from Wikidata,Tetras",Tetris,Тетрис,"0.0182,0.0269,0.0356,0.0304,0.031,0.0339,0.0367,0.0292,0.0298,0.0547,0.0263,0.0761,0.0286,0.1033,0.0454,0.2833,0.0269,0.0223,0.0246,0.0367",https://images.pexels.com/photos/8108665/pexels-photo-8108665.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
15,existentialism,Existentialism,https://en.wikipedia.org/wiki/Existentialism,"Existentialism
( or ) is a form of philosophical inquiry that explores the problem of human existence and centers on the experience of thinking, feeling, and acting. In the view of the existentialist, the individual's starting point has been called ""the existential angst,"" a sense of dread, disorientation, confusion, or anxiety in the face of an apparently meaningless or absurd world. Existentialist thinkers frequently explore issues related to the meaning, purpose, and value of human existence.Existentialism is associated with several 19th and 20th-century European philosophers who shared an emphasis on the human subject, despite profound doctrinal differences. Many existentialists regarded traditional systematic or academic philosophies, in style and content, as too abstract and remote from concrete human experience. A primary virtue in existentialist thought is authenticity. Søren Kierkegaard is generally considered to have been the first existentialist philosopher. He proposed that each individual—not society or religion—is solely responsible for giving meaning to life and living it passionately and sincerely, or ""authentically"".Furthermore, existentialism has influenced many disciplines outside of philosophy, including theology, drama, art, literature, and psychology.","19th-century philosophy,20th-century philosophy,All articles that are too technical,All articles with specifically marked weasel-worded phrases,All articles with unsourced statements,Articles containing Japanese-language text,Articles with Curlie links,Articles with French-language sources (fr),Articles with Internet Encyclopedia of Philosophy links,Articles with short description,Articles with specifically marked weasel-worded phrases from May 2018,Articles with unsourced statements from April 2016,Articles with unsourced statements from June 2020,CS1 errors: missing periodical,Criticism of rationalism,Existentialism,Individualism,Metaphysical theories,Modernism,Pages using Sister project links with default search,Pages using Sister project links with hidden wikidata,Philosophical movements,Philosophy of life,Short description is different from Wikidata,Social theories,Wikipedia articles that are too technical from November 2020,Wikipedia articles with GND identifiers,Wikipedia articles with NDL identifiers,Wikipedia external links cleanup from September 2015,Wikipedia spam cleanup from September 2015",Existentialism,Экзистенциализм,"0.0543,0.0318,0.0189,0.337,0.0608,0.039,0.0302,0.0197,0.0358,0.031,0.0455,0.0181,0.027,0.0374,0.0286,0.0382,0.0552,0.0238,0.0407,0.027",https://images.pexels.com/photos/8720232/pexels-photo-8720232.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
16,boating,Boating,https://en.wikipedia.org/wiki/Boating,"Boating is the leisurely activity of travelling by boat, or the recreational use of a boat whether powerboats, sailboats, or man-powered vessels (such as rowing and paddle boats), focused on the travel itself, as well as sports activities, such as fishing or waterskiing. It is a popular activity, and there are millions of boaters worldwide.

","All articles lacking reliable references,All articles with unsourced statements,Articles lacking reliable references from April 2012,Articles with multiple maintenance issues,Articles with short description,Articles with unsourced statements from April 2010,Boating,CS1 maint: archived copy as title,Nautical terminology,Short description matches Wikidata,Vehicle operation,Water sports,Water transport,Wikipedia articles with GND identifiers",Boating,Путешествия на лодке,"0.0353,0.0368,0.0428,0.0473,0.0338,0.0353,0.0338,0.0758,0.0368,0.0368,0.1809,0.0518,0.0473,0.0338,0.0488,0.0473,0.0338,0.0428,0.0548,0.0443",https://images.pexels.com/photos/4928893/pexels-photo-4928893.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
17,four wheeling,Off-roading,https://en.wikipedia.org/wiki/Off-roading,"Off-roading is the activity of driving or riding a vehicle on unsurfaced roads or tracks, made of materials such as sand, gravel, riverbeds, mud, snow, rocks, and other natural terrain. Types of off-roading range in intensity, from leisure drives with unmodified vehicles to competitions with customized vehicles and professional drivers. Off-roaders have been met with criticism for the environmental damage caused by their vehicles. There have also been extensive debates over the role of government in regulating the sport, including a Supreme Court case brought against the Bureau of Land Management.","All NPOV disputes,All articles needing additional references,All articles that may contain original research,All articles with a promotional tone,All articles with unsourced statements,Articles needing additional references from January 2012,Articles needing additional references from November 2020,Articles that may contain original research from May 2009,Articles with a promotional tone from January 2012,Articles with limited geographic scope from April 2013,Articles with multiple maintenance issues,Articles with short description,Articles with unsourced statements from January 2009,Articles with unsourced statements from January 2012,Articles with unsourced statements from June 2020,Articles with unsourced statements from March 2013,Articles with unsourced statements from May 2013,Articles with unsourced statements from May 2018,CS1 errors: external links,CS1 maint: archived copy as title,Commons category link from Wikidata,Human activities with impact on the environment,NPOV disputes from April 2018,Off-roading,Outdoor recreation,Short description is different from Wikidata,Webarchive template wayback links",Four Wheeling,Четырехколесное вождение,"0.0345,0.0404,0.0263,0.0602,0.038,0.0474,0.0731,0.0871,0.0439,0.0345,0.0404,0.1339,0.0368,0.038,0.0333,0.0532,0.0637,0.0333,0.045,0.0368",https://images.pexels.com/photos/2981241/pexels-photo-2981241.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
18,sledding,Sledding,https://en.wikipedia.org/wiki/Sledding,"Sledding, sledging or sleighing is a winter sport typically carried out in a prone or seated position on a vehicle generically known as a sled (North American), a sledge (British), or a sleigh. It is the basis of three Olympic sports: luge, skeleton and bobsledding. When practised on sand, it is known as a form of sandboarding. In Russia sledges are used for maritime activities including fishing and commuting from island to island on ice. 

","All articles needing additional references,Articles containing video clips,Articles needing additional references from October 2006,Articles with limited geographic scope from December 2010,Articles with multiple maintenance issues,CS1 German-language sources (de),Human-powered transport,Ice sports,Racing,Sledding,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Winter sports",Sledding,Катание на санях,"0.0335,0.0335,0.0719,0.0506,0.0833,0.0392,0.052,0.0434,0.0463,0.0506,0.0776,0.0491,0.0335,0.0335,0.0392,0.0662,0.0321,0.0392,0.0819,0.0434",https://images.pexels.com/photos/6490021/pexels-photo-6490021.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
19,dowsing,Dowsing,https://en.wikipedia.org/wiki/Hugh_Dowding,"Air Chief Marshal Hugh Caswall Tremenheere Dowding, 1st Baron Dowding,  (24 April 1882 – 15 February 1970) was an officer in the Royal Air Force. He was Air Officer Commanding RAF Fighter Command during the Battle of Britain and is generally credited with playing a crucial role in Britain's defence, and hence, the defeat of Adolf Hitler's plan to invade Britain.
Born in Moffat, Scotland, Dowding was an officer in the British Army in the 1900s and early 1910s. He joined the Royal Flying Corps at the start of the First World War and went on to serve as a fighter pilot and then as commanding officer of No. 16 Squadron. During the inter-war years he became Air Officer Commanding Fighting Area, Air Defence of Great Britain and then joined the Air Council as Air Member for Supply and Research. In July 1936, Dowding was appointed chief of the newly created RAF Fighter Command.
During the Battle of Britain in the Second World War, Dowding's Fighter Command successfully defended the UK against the attacks of the Luftwaffe, thanks to his prudent management of RAF resources and detailed preparation of Britain's air defences (the Dowding system). He subsequently came into conflict with proponents of the Big Wing tactic, most notably Trafford Leigh-Mallory and Douglas Bader, which along with the inadaquecies of RAF's nighttime defence during the Blitz led to his eventual downfall. In November 1940, Dowding was replaced in command against his wishes by Sholto Douglas, another Big Wing advocate.
Dowding retired from the Royal Air Force in July 1942 and was made a peer in June 1943. He died on 15 February 1970, aged 87.","1882 births,1970 deaths,Aerial warfare pioneers,Anti-vivisectionists,Articles with short description,Barons in the Peerage of the United Kingdom,Battle of Britain,British Army personnel of World War I,Burials at Westminster Abbey,CS1: Julian–Gregorian uncertainty,Commons category link from Wikidata,Companions of the Order of St Michael and St George,Graduates of the Royal Military Academy,Woolwich,Graduates of the Staff College,Camberley,Knights Grand Cross of the Order of the Bath,Knights Grand Cross of the Royal Victorian Order,Pages containing London Gazette template with parameter supp set to y,Parapsychologists,Peers created by George VI,""People educated at St Ninians School,Moffat"",People educated at Winchester College,People from Moffat,Royal Air Force air marshals of World War II,Royal Air Force generals of World War I,Royal Flying Corps officers,Royal Garrison Artillery officers,Scottish Theosophists,Scottish aviators,Scottish spiritualists,Short description matches Wikidata,Use British English from March 2021,Use dmy dates from June 2020,Wikipedia articles with BNF identifiers,Wikipedia articles with FAST identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with ISNI identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NKC identifiers,Wikipedia articles with NTA identifiers,Wikipedia articles with PLWABN identifiers,Wikipedia articles with SNAC-ID identifiers,Wikipedia articles with SUDOC identifiers,Wikipedia articles with Trove identifiers,Wikipedia articles with VIAF identifiers,Wikipedia articles with WORLDCATID identifiers",Dowsing,Лозоходство,"0.0264,0.0282,0.0264,0.0865,0.0363,0.0202,0.2487,0.0318,0.0354,0.0497,0.0228,0.0694,0.0372,0.047,0.022,0.0228,0.0336,0.0372,0.0211,0.0972",
20,audiophilia,Audiophile,https://en.wikipedia.org/wiki/Audiophile,"An audiophile is a person who is enthusiastic about high-fidelity sound reproduction. An audiophile seeks to reproduce the sound of a live musical performance, typically in a room with good acoustics. It is widely agreed that reaching this goal is very difficult and that even the best-regarded recording and playback systems rarely, if ever, achieve it.Audiophile values may be applied at all stages of music reproduction: the initial audio recording, the production process, and the playback, which is usually in a home setting. In general, the values of an audiophile are seen to be antithetical to the growing popularity of more convenient but lower quality music, especially lossy digital file types like MP3, lower definition streaming services, and inexpensive headphones.The term high-end audio refers to playback equipment used by audiophiles, which may be bought at specialist shops and websites. High-end components include turntables, digital-to-analog converters, equalization devices, preamplifiers and amplifiers (both solid-state and vacuum tube), loudspeakers (including horn, electrostatic and magnetostatic speakers), power conditioners, subwoofers, headphones, and acoustic room treatment in addition to room correction devices.Although many audiophile techniques are based on objective criteria that can be verified using techniques like ABX testing, perceived sound quality is necessarily subjective, leading to some more controversial audiophile techniques being based on pseudoscientific, magical or paranormal principles.

","Articles with short description,Audio engineering,Hobbies,Short description matches Wikidata,Use dmy dates from June 2013",Audiophilia,Аудиофилия,"0.0202,0.2476,0.069,0.0382,0.0331,0.069,0.0157,0.0369,0.1249,0.0427,0.0421,0.0324,0.0196,0.0459,0.0363,0.0254,0.0299,0.0202,0.017,0.0337",
